# Avida count data
# Thu Feb 26 18:32:17 2009
#  1: update
#  2: number of insts executed this update
#  3: number of organisms
#  4: number of different genotypes
#  5: number of different threshold genotypes
#  6: number of different species
#  7: number of different threshold species
#  8: number of different lineages
#  9: number of births in this update
# 10: number of deaths in this update
# 11: number of breed true
# 12: number of breed true organisms?
# 13: number of no-birth organisms
# 14: number of single-threaded organisms
# 15: number of multi-threaded organisms
# 16: number of modified organisms

16100 107820 3596 2752 3219 0 0 0 218 216 102 1484 2101 3596 0 0
16200 107790 3592 2793 3191 0 0 0 246 247 100 1403 2092 3592 0 0
16300 107730 3590 2815 3190 0 0 0 216 217 89 1407 2065 3590 0 0
16400 107820 3591 2765 3207 0 0 0 230 233 95 1479 2094 3591 0 0
16500 107670 3590 2736 3183 0 0 0 264 263 102 1453 2073 3590 0 0
16600 107700 3590 2753 3205 0 0 0 255 255 100 1468 2082 3590 0 0
16700 107910 3596 2749 3248 0 0 0 214 215 82 1474 2103 3596 0 0
16800 107850 3592 2807 3353 0 0 0 244 247 97 1404 2088 3592 0 0
16900 107730 3593 2742 3416 0 0 0 221 219 105 1461 2094 3593 0 0
17000 107550 3581 2741 3393 0 0 0 219 223 88 1413 2088 3581 0 0
17100 107730 3587 2734 3437 0 0 0 220 224 89 1475 2072 3587 0 0
17200 107610 3591 2716 3280 0 0 0 223 219 98 1488 2069 3591 0 0
17300 107670 3596 2760 3289 0 0 0 222 215 98 1468 2121 3596 0 0
17400 107700 3590 2730 3342 0 0 0 233 233 102 1479 2076 3590 0 0
17500 107700 3589 2726 3298 0 0 0 202 203 87 1440 2081 3589 0 0
17600 107670 3589 2685 3270 0 0 0 220 220 95 1513 2067 3589 0 0
17700 107670 3591 2734 3363 0 0 0 223 221 95 1444 2084 3591 0 0
17800 107670 3592 2713 3480 0 0 0 247 244 111 1478 2109 3592 0 0
17900 107610 3586 2711 3577 0 0 0 225 226 97 1498 2067 3586 0 0
