# Avida Dominant Data
# Thu Feb 26 18:32:17 2009
#  1: Update
#  2: Average Merit of the Dominant Genotype
#  3: Average Gestation Time of the Dominant Genotype
#  4: Average Fitness of the Dominant Genotype
#  5: Repro Rate?
#  6: Size of Dominant Genotype
#  7: Copied Size of Dominant Genotype
#  8: Executed Size of Dominant Genotype
#  9: Abundance of Dominant Genotype
# 10: Number of Births
# 11: Number of Dominant Breed True?
# 12: Dominant Gene Depth
# 13: Dominant Breed In
# 14: Max Fitness?
# 15: Genotype ID of Dominant Genotype
# 16: Name of the Dominant Genotype

11500 1241.91 279.627 4.44251 0.00357622 102 102 92.1765 14 0 0 278 0 10.8961 1343280 102-abpjn
11600 1323.55 284.404 4.65532 0.00351613 103 103 96.0638 9 2 2 273 0 11.0463 1353500 103-aapqp
11700 1192.36 280.5 4.25281 0.00356507 102 102 94.08 9 0 0 275 0 40.0172 1365361 102-abqpi
11800 1116.05 276.591 4.03701 0.00361547 102 102 92.6364 8 2 2 288 0 10.4748 1384532 102-abrps
11900 1273.63 280 4.54894 0.0035715 102 102 94.9014 9 3 2 282 0 9.82895 1391720 102-abryd
12000 1376.2 279.333 4.92795 0.00357997 102 102 94.4444 10 1 0 281 0 12.3279 1412993 102-abtcf
12100 1338.81 280.444 4.77518 0.00356578 103 103 95.5741 9 1 1 282 0 10.231 1419978 103-aarjs
12200 1282.19 279.436 4.58989 0.00357865 102 102 92.3511 9 0 0 284 0 9.8993 1414093 102-abtjs
12300 1154.65 277.015 4.16846 0.00360998 102 102 93.4848 11 1 1 291 0 63.5232 1436596 102-abuuu
12400 1194.17 280.767 4.25082 0.00356188 102 102 93.9302 10 1 1 285 0 35.0551 1451779 102-abvnq
12500 1117.04 279.382 3.99883 0.00357944 102 102 93.4412 8 0 0 302 0 10.9682 1466483 102-abwlf
12600 1290.8 278.381 4.63599 0.00359223 102 102 93.881 8 0 0 288 0 64.8821 1480125 102-abxep
12700 1250.77 277.791 4.5034 0.00359986 103 103 92.9403 10 2 2 295 0 10.3387 1486015 103-aaszz
12800 1295.91 247.74 5.23216 0.00403653 102 102 96.2857 12 0 0 306 0 62.8545 1506828 102-abynq
12900 1301.54 285 4.56681 0.00350877 103 103 95.4545 9 2 1 298 0 10.7789 1515110 103-aatqt
13000 1205.42 283.261 4.25822 0.00353032 102 102 95.1304 11 1 1 297 0 10.5882 1524897 102-abzpn
13100 1195.39 277.528 4.30934 0.00360325 101 101 95.9722 7 0 0 298 0 63.7735 1546973 101-abiqr
13200 1298.47 279 4.65424 0.00358427 103 103 94.75 9 0 0 299 0 63.0688 1559103 103-aauuw
13300 1276.84 280.724 4.54921 0.00356225 102 102 93.0517 7 0 0 312 0 10.6282 1568985 102-acbqf
13400 1098.87 241.611 4.55015 0.00413892 102 102 87.9444 9 3 3 335 0 16.1465 1587708 102-accwg
13500 8955.33 307.033 25.8514 0.00329723 102 102 95.4 10 0 0 328 0 64.6768 1602714 102-acdlz
13600 1367.37 330.231 4.1398 0.00302829 102 102 93.1538 8 3 2 327 0 63.0336 1615795 102-aceiv
13700 1255.39 243.492 5.1583 0.00410694 102 102 96.9915 11 0 0 329 0 23.0043 1612071 102-acedk
13800 1316.35 287.174 4.5858 0.00348222 102 102 96.4348 11 5 3 306 0 11.0824 1638907 102-acful
13900 1291.31 285.591 4.52288 0.00350152 104 104 97.4091 9 0 0 325 0 11.2738 1647074 104-aaevb
14000 1091.14 332.079 3.28567 0.00301135 102 102 93.8947 10 0 0 349 0 16.9245 1660845 102-achgm
14100 1247.21 275.714 4.52468 0.00362698 102 102 93.7802 13 0 0 320 0 11.4787 1654422 102-achbo
14200 1084 241.606 4.49207 0.00413904 102 102 90.0303 10 0 0 341 0 62.4036 1685168 102-acjhu
14300 1246.89 245.977 5.07338 0.00406549 103 103 94.0698 10 1 1 343 0 62.584 1701538 103-aaxse
14400 1327.3 244.095 5.43793 0.00409689 102 102 90.7143 8 3 2 354 0 62.2636 1716034 102-acleb
14500 1595.61 281.745 5.65862 0.00354934 102 102 94.6471 10 4 4 339 0 10.2998 1723524 102-aclrs
14600 1324.57 246.63 5.37375 0.00405469 102 102 95.0741 8 0 0 349 0 11.2185 1742240 102-acmzk
14700 1215.69 243.211 5.00181 0.00411179 102 102 91.6316 7 0 0 346 0 12.0976 1756054 102-acoer
14800 1322.03 245.343 5.39028 0.00407594 102 102 92.9403 13 1 1 362 0 70.3911 1761533 102-acohv
14900 1259.59 246 5.1205 0.00406507 102 102 92.7105 9 2 1 353 0 71.6344 1781020 102-acpvd
15000 1302.73 329.486 3.95478 0.00303503 102 102 94.2973 8 1 0 374 0 69.6578 1796964 102-acrcz
15100 1193.33 246.95 4.8328 0.00404945 102 102 93.675 10 2 1 373 0 17.7289 1812206 102-acsfr
15200 1261.59 246.448 5.12135 0.00405766 102 102 94.6897 9 3 2 357 0 70.9732 1826721 102-actgf
15300 1177.03 247.273 4.75905 0.00404423 102 102 94.303 7 4 2 366 0 12.2776 1827987 102-acuff
15400 1211.91 245.711 4.93382 0.00406988 103 103 93.4737 14 2 2 372 0 70.6839 1849104 103-abaan
15500 1264.7 241.469 5.23938 0.00414135 102 102 88.375 8 3 1 373 0 12.5668 1858110 102-acvqd
